# frame_count, ap_station, ground_station, nc, time, lpx, lpy, lpz
20,12,2,3,1972-09-17 14:38:00.003000,523,501,501
20,12,2,4,1972-09-17 14:38:00.154000,523,501,501
21,12,2,1,1972-09-17 14:38:00.304000,523,500,501
21,12,2,2,1972-09-17 14:38:00.455000,523,500,501
21,12,2,3,1972-09-17 14:38:00.606000,523,500,501
21,12,2,4,1972-09-17 14:38:00.757000,523,500,501
22,12,2,1,1972-09-17 14:38:00.907000,523,500,501
22,12,2,2,1972-09-17 14:38:01.058000,523,500,502
22,12,2,3,1972-09-17 14:38:01.209000,523,500,502
22,12,2,4,1972-09-17 14:38:01.360000,523,500,501
23,12,2,1,1972-09-17 14:38:01.512000,523,500,501
23,12,2,2,1972-09-17 14:38:01.663000,523,500,501
23,12,2,3,1972-09-17 14:38:01.814000,523,500,501
23,12,2,4,1972-09-17 14:38:01.965000,523,500,501
24,12,2,1,1972-09-17 14:38:02.115000,524,500,502
24,12,2,2,1972-09-17 14:38:02.266000,524,500,502
24,12,2,3,1972-09-17 14:38:02.417000,524,500,502
24,12,2,4,1972-09-17 14:38:02.568000,524,500,501
25,12,2,1,1972-09-17 14:38:02.719000,524,500,501
25,12,2,2,1972-09-17 14:38:02.870000,524,500,501
25,12,2,3,1972-09-17 14:38:03.021000,524,500,502
25,12,2,4,1972-09-17 14:38:03.172000,524,500,502
26,12,2,1,1972-09-17 14:38:03.322000,524,499,502
26,12,2,2,1972-09-17 14:38:03.473000,524,499,501
26,12,2,3,1972-09-17 14:38:03.624000,524,498,501
26,12,2,4,1972-09-17 14:38:03.775000,524,498,501
27,12,2,1,1972-09-17 14:38:03.927000,524,499,501
27,12,2,2,1972-09-17 14:38:04.078000,524,499,501
27,12,2,3,1972-09-17 14:38:04.229000,524,499,501
27,12,2,4,1972-09-17 14:38:04.380000,524,499,502
28,12,2,1,1972-09-17 14:38:04.531000,524,499,502
28,12,2,2,1972-09-17 14:38:04.682000,524,499,502
28,12,2,3,1972-09-17 14:38:04.833000,524,499,502
28,12,2,4,1972-09-17 14:38:04.984000,524,499,502
29,12,2,1,1972-09-17 14:38:05.134000,524,499,502
29,12,2,2,1972-09-17 14:38:05.285000,524,499,502
29,12,2,3,1972-09-17 14:38:05.436000,524,499,502
29,12,2,4,1972-09-17 14:38:05.587000,524,499,502
30,12,2,1,1972-09-17 14:38:05.738000,524,499,502
