,year,day,starthour,startmin,endhour,endmin,11or12-quality,14-quality,15-quality,16-quality,type,UTDstime,UTDetime
1120,71,107,7,4,09,00, , , , ,H,1971-04-17T07:04:00,1971-04-17T09:00:00
1262,71,140,17,29,19,05, , , , ,H,1971-05-20T17:29:00,1971-05-20T19:05:00
1553,71,192,13,27,14,15, , , , ,H,1971-07-11T13:27:00,1971-07-11T14:15:00
2614,72,2,22,32,99,99, ,6,6, ,H,1972-01-02T22:32:00,1972-01-02T22:32:00
4677,72,261,14,38,15,00, ,2, ,2,H,1972-09-17T14:38:00,1972-09-17T15:00:00
5444,72,341,23,10,23,40, , , , ,H,1972-12-06T23:10:00,1972-12-06T23:40:00
5467,72,344,3,52,04,50, , , ,5,H,1972-12-09T03:52:00,1972-12-09T04:50:00
5859,73,39,22,53,23,15, , , , ,H,1973-02-08T22:53:00,1973-02-08T23:15:00
6049,73,72,8,1,09,30, , ,2,2,H,1973-03-13T08:01:00,1973-03-13T09:30:00
6565,73,171,20,25,21,35, , , , ,H,1973-06-20T20:25:00,1973-06-20T21:35:00
7096,73,274,4,0,04,30, ,1, , ,H,1973-10-01T04:00:00,1973-10-01T04:30:00
7744,74,54,21,17,21,35, , , , ,H,1974-02-23T21:17:00,1974-02-23T21:35:00
7911,74,86,9,11,09,55, , , , ,H,1974-03-27T09:11:00,1974-03-27T09:55:00
7978,74,109,13,39,14,09, , , , ,H,1974-04-19T13:39:00,1974-04-19T14:09:00
8138,74,149,20,45,21,00, , ,2, ,H,1974-05-29T20:45:00,1974-05-29T21:00:00
8267,74,192,0,52,02,40, , ,2, ,H,1974-07-11T00:52:00,1974-07-11T02:40:00
8887,75,3,1,47,04,20, , , , ,H,1975-01-03T01:47:00,1975-01-03T04:20:00
8911,75,12,3,17,04,10, , , , ,H,1975-01-12T03:17:00,1975-01-12T04:10:00
8914,75,13,0,28,01,20, , , , ,H,1975-01-13T00:28:00,1975-01-13T01:20:00
9011,75,44,22,5,23,20, , , , ,H,1975-02-13T22:05:00,1975-02-13T23:20:00
9229,75,127,6,40,07,05, , , , ,H,1975-05-07T06:40:00,1975-05-07T07:05:00
9285,75,147,23,32,00,15, , , , ,H,1975-05-27T23:32:00,1975-05-28T00:15:00
9804,75,314,7,56,08,45, , , ,5,H,1975-11-10T07:56:00,1975-11-10T08:45:00
9978,76,4,11,20,12,20,2, , , ,H,1976-01-04T11:20:00,1976-01-04T12:20:00
10003,76,12,8,22,08,38, ,2, , ,H,1976-01-12T08:22:00,1976-01-12T08:38:00
10169,76,66,10,16,11,50, , , , ,H,1976-03-06T10:16:00,1976-03-06T11:50:00
10182,76,68,14,44,16,00,5, , ,2,H,1976-03-08T14:44:00,1976-03-08T16:00:00
10498,76,137,12,36,99,99, ,1, ,2,H,1976-05-16T12:36:00,1976-05-16T12:36:00
